"Year","ID","Month","Treatment","Species","Age","Sex","NV","NG","NDVI","Death_date","Season","PropGV","Month_AD","MY"
"2011","10-022","12","Carcass","Wildebeest","A","F",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Wildebeest","A","M",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Wildebeest","SA","F",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Wildebeest","SA","M",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Zebra","A","F",6,1,0.246977419354839,2010-02-03,"Hot_dry",0.166666666666667,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Zebra","A","M",4,2,0.246977419354839,2010-02-03,"Hot_dry",0.5,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Zebra","SA","F",1,0,0.246977419354839,2010-02-03,"Hot_dry",0,22,"2011/12-10-022"
"2011","10-022","12","Carcass","Zebra","SA","M",1,1,0.246977419354839,2010-02-03,"Hot_dry",1,22,"2011/12-10-022"
"2011","10-022","12","Control","Wildebeest","A","F",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Control","Wildebeest","A","M",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Control","Wildebeest","SA","F",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Control","Wildebeest","SA","M",0,0,0.246977419354839,2010-02-03,"Hot_dry",NA,22,"2011/12-10-022"
"2011","10-022","12","Control","Zebra","A","F",4,0,0.246977419354839,2010-02-03,"Hot_dry",0,22,"2011/12-10-022"
"2011","10-022","12","Control","Zebra","A","M",9,0,0.246977419354839,2010-02-03,"Hot_dry",0,22,"2011/12-10-022"
"2011","10-022","12","Control","Zebra","SA","F",1,0,0.246977419354839,2010-02-03,"Hot_dry",0,22,"2011/12-10-022"
"2011","10-022","12","Control","Zebra","SA","M",1,1,0.246977419354839,2010-02-03,"Hot_dry",1,22,"2011/12-10-022"
"2011","10-049","01","Carcass","Wildebeest","A","F",9,5,0.34181935483871,2010-02-21,"Hot_wet",0.555555555555556,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Wildebeest","A","M",6,3,0.34181935483871,2010-02-21,"Hot_wet",0.5,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Wildebeest","SA","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Wildebeest","SA","M",1,0,0.34181935483871,2010-02-21,"Hot_wet",0,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Zebra","A","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Zebra","A","M",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Zebra","SA","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Carcass","Zebra","SA","M",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Wildebeest","A","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Wildebeest","A","M",4,3,0.34181935483871,2010-02-21,"Hot_wet",0.75,11,"2011/01-10-049"
"2011","10-049","01","Control","Wildebeest","SA","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Wildebeest","SA","M",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Zebra","A","F",1,0,0.34181935483871,2010-02-21,"Hot_wet",0,11,"2011/01-10-049"
"2011","10-049","01","Control","Zebra","A","M",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Zebra","SA","F",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
"2011","10-049","01","Control","Zebra","SA","M",0,0,0.34181935483871,2010-02-21,"Hot_wet",NA,11,"2011/01-10-049"
