"","Step","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","LD","sim","Weather","CarcTot"
"25729",74,35200,35487,35990,34964,35383,35125,35811,35168,35214,35208,35438,"1e+07","55","Normal",388988
"25730",75,35498,35200,35487,35990,34964,35383,35125,35811,35168,35214,35208,"1e+07","55","Normal",389048
"25731",76,35423,35498,35200,35487,35990,34964,35383,35125,35811,35168,35214,"1e+07","55","Normal",389263
"25732",77,34983,35423,35498,35200,35487,35990,34964,35383,35125,35811,35168,"1e+07","55","Normal",389032
"25733",78,35115,34983,35423,35498,35200,35487,35990,34964,35383,35125,35811,"1e+07","55","Normal",388979
"25734",79,35558,35115,34983,35423,35498,35200,35487,35990,34964,35383,35125,"1e+07","55","Normal",388726
"25735",80,35871,35558,35115,34983,35423,35498,35200,35487,35990,34964,35383,"1e+07","55","Normal",389472
"25736",81,35604,35871,35558,35115,34983,35423,35498,35200,35487,35990,34964,"1e+07","55","Normal",389693
"25737",82,35481,35604,35871,35558,35115,34983,35423,35498,35200,35487,35990,"1e+07","55","Normal",390210
"25738",83,35193,35481,35604,35871,35558,35115,34983,35423,35498,35200,35487,"1e+07","55","Normal",389413
"25739",84,35502,35193,35481,35604,35871,35558,35115,34983,35423,35498,35200,"1e+07","55","Normal",389428
"25740",85,35959,35502,35193,35481,35604,35871,35558,35115,34983,35423,35498,"1e+07","55","Normal",390187
"25741",86,35149,35959,35502,35193,35481,35604,35871,35558,35115,34983,35423,"1e+07","55","Normal",389838
"25742",87,35689,35149,35959,35502,35193,35481,35604,35871,35558,35115,34983,"1e+07","55","Normal",390104
"25743",88,35450,35689,35149,35959,35502,35193,35481,35604,35871,35558,35115,"1e+07","55","Normal",390571
"25744",89,35024,35450,35689,35149,35959,35502,35193,35481,35604,35871,35558,"1e+07","55","Normal",390480
"25745",90,35725,35024,35450,35689,35149,35959,35502,35193,35481,35604,35871,"1e+07","55","Normal",390647
"25746",91,35292,35725,35024,35450,35689,35149,35959,35502,35193,35481,35604,"1e+07","55","Normal",390068
"25747",92,35508,35292,35725,35024,35450,35689,35149,35959,35502,35193,35481,"1e+07","55","Normal",389972
"25748",93,35677,35508,35292,35725,35024,35450,35689,35149,35959,35502,35193,"1e+07","55","Normal",390168
"25749",94,35491,35677,35508,35292,35725,35024,35450,35689,35149,35959,35502,"1e+07","55","Normal",390466
"25750",95,35912,35491,35677,35508,35292,35725,35024,35450,35689,35149,35959,"1e+07","55","Normal",390876
"25751",96,35634,35912,35491,35677,35508,35292,35725,35024,35450,35689,35149,"1e+07","55","Normal",390551
"25752",97,35621,35634,35912,35491,35677,35508,35292,35725,35024,35450,35689,"1e+07","55","Normal",391023
"25753",98,35479,35621,35634,35912,35491,35677,35508,35292,35725,35024,35450,"1e+07","55","Normal",390813
"25754",99,35526,35479,35621,35634,35912,35491,35677,35508,35292,35725,35024,"1e+07","55","Normal",390889
"25755",100,35326,35526,35479,35621,35634,35912,35491,35677,35508,35292,35725,"1e+07","55","Normal",391191
"25756",0,1,24,11,64,39,18,0,29,6,31,12,"1e+07","56",NA,235
"25757",1,29,1,24,11,64,39,18,0,29,6,31,"1e+07","56","Normal",252
"25758",2,52,29,1,24,11,64,39,18,0,29,6,"1e+07","56","Normal",273
"25759",3,101,52,29,1,24,11,64,39,18,0,29,"1e+07","56","Normal",368
"25760",4,172,101,52,29,1,24,11,64,39,18,0,"1e+07","56","Normal",511
"25761",5,265,172,101,52,29,1,24,11,64,39,18,"1e+07","56","Normal",776
"25762",6,503,265,172,101,52,29,1,24,11,64,39,"1e+07","56","Normal",1261
